1,1,-,2,2,MACHO MOVER (IRE),6,g, Camacho Fanciful Dancer,Olly Murphy,L Stones (166)
1,3,-,9/2,5,STORM LORENZO (IRE),6,g, Doyen (IRE) Gallant Express (IRE),Rebecca Menzies,N Moscrop (161)
1,4,-,5,9/2,CHARM OFFENSIVE (FR),7,m, Le Triton (USA) Go Lison (FR),Nick Alexander,B Lynn (161)
1,5,-,7/2,7,LADY BOWES,7,m, Malinas (GER) Blazing Bay (IRE),James Moffatt,Charlotte Jones (158)
1,6,-,7/2,4,STOLEN MONEY (IRE),6,g, Prince Flori (GER) Dark Daisy (IRE),Donald Whillans,T Gillard (156)
1,7,-,4,10,STORM TIGER,5,g, Shirocco (GER) Lucys Pet (UNR),Stella Barclay,F Gregory (152)
 
2,1,-,8,5/2,ASHTOWN LAD (IRE),7,g, Flemensfirth (USA) Blossom Trix (IRE),Dan Skelton,H Skelton (162)
2,2,-,2,3,BUSHYPARK (IRE),7,g, Le Fou (IRE) Aztec Pearl,Philip Kirby,T Dowson (159)
2,3,-,3,6,MINT CONDITION,7,g, Black Sam Bellamy (IRE) Winning Counsel (IRE),Jennie Candlish,H Brooke (158)
2,4,-,7/2,5/2,TORN AND FRAYED (FR),7,g, Califet (FR) Chic Et Zen (FR),Nigel Twiston-Davies,S Twiston-Davies (155)
2,5,-,2,8,FARRANTS WAY (IRE),7,g, Shantou (USA) Shuil A Hocht (IRE),Venetia Williams,C Deutsch (151)
2,6,-,12,12,FRIMEUR DE LANCRAY (FR),6,g, Saddler Maker (IRE) Jecyfly (FR),Sue Smith,R Mania (151)
 
3,1,-,2,4,JUNGLE JACK,5,g, Doyen (IRE) Skew,Donald McCain,B Hughes (159)
3,2,-,7/2,7/2,TRANSFER FRIENDLY (IRE),5,g, Mahler Ballynagall (IRE),Harry Whittington,A P Heskin (159)
3,3,-,9/2,7,CAPTAIN BROOMFIELD (IRE),5,g, Arakan (USA) Presenting D'azy (IRE),Emma Lavelle,T Bellamy (152)
